Name,Collection,Rarity,Float,PriceCents,StatTrak
Dual Berettas | Cobalt Quartz,The Lake Collection,restricted,0.232644185503,,false
Dual Berettas | Cobalt Quartz,The Lake Collection,restricted,0.220461453627,,false
Dual Berettas | Cobalt Quartz,The Lake Collection,restricted,0.088183442032,,false
P250 | Inferno,The CS20 Collection,restricted,0.394617791875,,false
UMP-45 | Plastique,The CS20 Collection,restricted,0.394405844260,,false
Five-SeveN | Heat Treated,The Sport & Field Collection,restricted,0.546127123431,,false
MP9 | Arctic Tri-Tone,The Sport & Field Collection,restricted,0.195924888660,,false
UMP-45 | Crimson Foil,The Sport & Field Collection,restricted,0.240515993139,,false
UMP-45 | Crimson Foil,The Sport & Field Collection,restricted,0.275955426949,,false
Five-SeveN | Heat Treated,The Sport & Field Collection,restricted,0.436690610534,,false
