Name,Collection,Rarity,Float,PriceCents,StatTrak
M4A1-S | Nitro,The Safehouse Collection,restricted,0.741880009320,,false
M4A1-S | Nitro,The Safehouse Collection,restricted,0.309019809538,,false
M4A1-S | Nitro,The Safehouse Collection,restricted,0.564221306116,,false
Five-SeveN | Heat Treated,The Sport & Field Collection,restricted,0.164355825133,,false
MP9 | Arctic Tri-Tone,The Sport & Field Collection,restricted,0.361201179831,,false
UMP-45 | Crimson Foil,The Sport & Field Collection,restricted,0.422206400396,,false
Desert Eagle | Trigger Discipline,The Snakebite Collection,restricted,0.563729742529,,false
Negev | dev_texture,The Snakebite Collection,restricted,0.110435877519,,false
Desert Eagle | Trigger Discipline,The Snakebite Collection,restricted,0.920534897494,,false
P250 | Cyber Shell,The Snakebite Collection,restricted,0.344978058413,,false
