Name,Collection,Rarity,Float,PriceCents,StatTrak
USP-S | Desert Tactical,The Anubis Collection,industrial,0.326504929340,,false
MAC-10 | Echoing Sands,The Anubis Collection,industrial,0.573423173878,,false
USP-S | Desert Tactical,The Anubis Collection,industrial,0.696814917744,,false
USP-S | Desert Tactical,The Anubis Collection,industrial,0.414063200567,,false
USP-S | Desert Tactical,The Anubis Collection,industrial,0.466627719109,,false
Desert Eagle | Night,The Chop Shop Collection,industrial,0.754786951053,,false
Galil AR | Urban Rubble,The Chop Shop Collection,industrial,0.243653027781,,false
Desert Eagle | Night,The Chop Shop Collection,industrial,0.527878497647,,false
MAC-10 | Silver,The Bank Collection,industrial,0.029380404614,,false
G3SG1 | Green Apple,The Bank Collection,industrial,0.154269555957,,false
