Name,Collection,Rarity,Float,PriceCents,StatTrak
M4A1-S | Mud-Spec,The Anubis Collection,industrial,0.175405526882,,false
MAC-10 | Echoing Sands,The Anubis Collection,industrial,0.499496611244,,false
MAC-10 | Echoing Sands,The Anubis Collection,industrial,0.503051047766,,false
M4A1-S | Mud-Spec,The Anubis Collection,industrial,0.278348410450,,false
MAC-10 | Echoing Sands,The Anubis Collection,industrial,0.243945527704,,false
SSG 08 | Azure Glyph,The Anubis Collection,industrial,0.245735331249,,false
SSG 08 | Azure Glyph,The Anubis Collection,industrial,0.805884078756,,false
Nova | Candy Apple,The Italy Collection,industrial,0.157511422007,,false
M4A1-S | Boreal Forest,The Italy Collection,industrial,0.586820007473,,false
Galil AR | Urban Rubble,The Chop Shop Collection,industrial,0.246071201398,,false
