Name,Collection,Rarity,Float,PriceCents,StatTrak
SG 553 | Integrale,The 2018 Inferno Collection,classified,0.641807414882,,false
SG 553 | Integrale,The 2018 Inferno Collection,classified,0.535051653381,,false
Dual Berettas | Twin Turbo,The 2018 Inferno Collection,classified,0.891204021646,,false
Dual Berettas | Twin Turbo,The 2018 Inferno Collection,classified,0.439377300441,,false
Dual Berettas | Twin Turbo,The 2018 Inferno Collection,classified,0.223690250555,,false
M4A1-S | Solitude,Limited Edition Item,classified,0.419901163862,,false
Desert Eagle | Heat Treated,Limited Edition Item,classified,0.639506646524,,false
Desert Eagle | Heat Treated,Limited Edition Item,classified,0.799312537333,,false
M4A1-S | Solitude,Limited Edition Item,classified,0.660497556157,,false
P90 | Cold Blooded,The Arms Deal 2 Collection,classified,0.039944116021,,false
