Name,Collection,Rarity,Float,PriceCents,StatTrak
P90 | Tiger Pit,The Havoc Collection,mil-spec,0.378735104708,,false
Desert Eagle | Night Heist,The Havoc Collection,mil-spec,0.258322940039,,false
P90 | Tiger Pit,The Havoc Collection,mil-spec,0.284719146668,,false
P250 | Bengal Tiger,The Havoc Collection,mil-spec,0.354085452098,,false
PP-Bizon | Brass,The Dust 2 Collection,mil-spec,0.367325865428,,false
SG 553 | Damascus Steel,The Dust 2 Collection,mil-spec,0.282785960371,,false
PP-Bizon | Brass,The Dust 2 Collection,mil-spec,0.631826975945,,false
PP-Bizon | Brass,The Dust 2 Collection,mil-spec,0.529264053251,,false
M4A1-S | VariCamo,The Dust 2 Collection,mil-spec,0.572568605180,,false
SG 553 | Damascus Steel,The Dust 2 Collection,mil-spec,0.719688813579,,false
