Name,Collection,Rarity,Float,PriceCents,StatTrak
Dual Berettas | Twin Turbo,The 2018 Inferno Collection,classified,0.636394181779,,false
Dual Berettas | Twin Turbo,The 2018 Inferno Collection,classified,0.324103066257,,false
Dual Berettas | Twin Turbo,The 2018 Inferno Collection,classified,0.288753239739,,false
Dual Berettas | Twin Turbo,The 2018 Inferno Collection,classified,0.536579301425,,false
SG 553 | Integrale,The 2018 Inferno Collection,classified,0.821113997769,,false
Glock-18 | Snack Attack,The Operation Riptide Collection,classified,0.555676831833,,false
MAC-10 | Toybox,The Operation Riptide Collection,classified,0.538020797777,,false
Glock-18 | Snack Attack,The Operation Riptide Collection,classified,0.851808967021,,false
SSG 08 | Turbo Peek,The Operation Riptide Collection,classified,0.421441456483,,false
SSG 08 | Turbo Peek,The Operation Riptide Collection,classified,0.197984618049,,false
