Name,Collection,Rarity,Float,PriceCents,StatTrak
SSG 08 | Parallax,The Operation Broken Fang Collection,restricted,0.697152440980,,true
SSG 08 | Parallax,The Operation Broken Fang Collection,restricted,0.566834254201,,true
UMP-45 | Gold Bismuth,The Operation Broken Fang Collection,restricted,0.240256297728,,true
Dual Berettas | Dezastre,The Operation Broken Fang Collection,restricted,0.743335869152,,true
Nova | Clear Polymer,The Operation Broken Fang Collection,restricted,0.196480018935,,true
Dual Berettas | Dezastre,The Operation Broken Fang Collection,restricted,0.261355244570,,true
Nova | Clear Polymer,The Operation Broken Fang Collection,restricted,0.797844187183,,true
UMP-45 | Gold Bismuth,The Operation Broken Fang Collection,restricted,0.498477974670,,true
Nova | Clear Polymer,The Operation Broken Fang Collection,restricted,0.834540533023,,true
AWP | Exoskeleton,The Operation Broken Fang Collection,restricted,0.110217411977,,true
