Name,Collection,Rarity,Float,PriceCents,StatTrak
PP-Bizon | Embargo,The Shattered Web Collection,restricted,0.366255848248,,false
MP7 | Neon Ply,The Shattered Web Collection,restricted,0.314245602064,,false
PP-Bizon | Embargo,The Shattered Web Collection,restricted,0.845908793996,,false
MP7 | Neon Ply,The Shattered Web Collection,restricted,0.733567182240,,false
MP7 | Neon Ply,The Shattered Web Collection,restricted,0.175759792211,,false
P2000 | Obsidian,The Shattered Web Collection,restricted,0.524657449784,,false
P2000 | Obsidian,The Shattered Web Collection,restricted,0.903597179204,,false
AK-47 | Rat Rod,The Shattered Web Collection,restricted,0.743325852285,,false
AUG | Arctic Wolf,The Shattered Web Collection,restricted,0.496856179269,,false
MP7 | Neon Ply,The Shattered Web Collection,restricted,0.256792497579,,false
