Name,Collection,Rarity,Float,PriceCents,StatTrak
UMP-45 | Gold Bismuth,The Operation Broken Fang Collection,restricted,0.358422576993,,true
AWP | Exoskeleton,The Operation Broken Fang Collection,restricted,0.276751433435,,true
AWP | Exoskeleton,The Operation Broken Fang Collection,restricted,0.623128242984,,true
Nova | Clear Polymer,The Operation Broken Fang Collection,restricted,0.490987733576,,true
AWP | Exoskeleton,The Operation Broken Fang Collection,restricted,0.469301522501,,true
AWP | Exoskeleton,The Operation Broken Fang Collection,restricted,0.930764070259,,true
AWP | Exoskeleton,The Operation Broken Fang Collection,restricted,0.191687121394,,true
MAC-10 | Last Dive,The Spectrum Collection,restricted,0.509315850034,,true
UMP-45 | Scaffold,The Spectrum Collection,restricted,0.501153286503,,true
M249 | Emerald Poison Dart,The Spectrum Collection,restricted,0.357262125426,,true
