Name,Collection,Rarity,Float,PriceCents,StatTrak
M249 | Aztec,The CS20 Collection,restricted,0.375000000000,,false
P250 | Inferno,The CS20 Collection,restricted,0.081600000000,,false
UMP-45 | Plastique,The CS20 Collection,restricted,0.720000000000,,false
Five-SeveN | Buddy,The CS20 Collection,restricted,0.066000000000,,false
UMP-45 | Plastique,The CS20 Collection,restricted,0.200000000000,,false
M249 | Aztec,The CS20 Collection,restricted,0.675000000000,,false
Five-SeveN | Buddy,The CS20 Collection,restricted,0.275000000000,,false
P250 | Inferno,The CS20 Collection,restricted,0.000000000000,,false
UMP-45 | Plastique,The CS20 Collection,restricted,0.400000000000,,false
MP5SD | Agent,The CS20 Collection,restricted,0.120000000000,,false
