Name,Collection,Rarity,Float,PriceCents,StatTrak
Sawed-Off | Limelight,The Gamma Collection,restricted,0.297487455197,,false
P90 | Chopper,The Gamma Collection,restricted,0.160689464236,,false
P90 | Chopper,The Gamma Collection,restricted,0.114802663151,,false
AUG | Aristocrat,The Gamma Collection,restricted,0.004336588200,,false
P90 | Chopper,The Gamma Collection,restricted,0.067944570878,,false
AWP | Phobos,The Gamma Collection,restricted,0.002970550015,,false
REVOLVER | Reboot,The Gamma Collection,restricted,0.001427056082,,false
Sawed-Off | Limelight,The Gamma Collection,restricted,0.033457445474,,false
AUG | Aristocrat,The Gamma Collection,restricted,0.209583900513,,false
AWP | Phobos,The Gamma Collection,restricted,0.044579841231,,false
